// Start Time: 0
// Sample rate: 50.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_w	Quat_x	Quat_y	Quat_z
 1144	6.872496	13.093840	-1.338542	-0.037359	0.471868	0.196771	-0.241509	-0.701408	0.171285	0.658982	0.592041	-0.442821	-0.138341	
 1145	3.821219	10.256605	-0.471502	0.082418	0.396038	0.051100	-0.239954	-0.698845	0.171825	0.660545	0.592535	-0.440914	-0.134822	
 1146	2.364344	9.944132	-1.157687	0.438207	0.458006	-0.081309	-0.238121	-0.696452	0.178265	0.659850	0.596387	-0.437995	-0.130689	
 1147	2.889876	10.596638	-1.520145	0.703460	0.227496	-0.033732	-0.235625	-0.690459	0.185470	0.656809	0.601123	-0.437455	-0.126042	
 1148	2.927903	11.447192	-2.881353	0.673673	0.032809	-0.093106	-0.236626	-0.686405	0.194562	0.652776	0.605975	-0.437526	-0.123485	
 1149	3.157389	10.794340	-3.172694	0.573361	-0.125609	-0.039828	-0.234408	-0.682811	0.203854	0.648866	0.609448	-0.439042	-0.121604	
 1150	3.526160	10.647822	-3.804002	0.388707	-0.157092	-0.015481	-0.230366	-0.679322	0.210988	0.645789	0.611834	-0.440444	-0.120932	
 1151	3.801512	10.192725	-3.888879	0.314050	-0.105312	0.040905	-0.224999	-0.677036	0.216182	0.643565	0.613328	-0.441995	-0.119553	
 1152	4.080184	9.887452	-3.791263	0.034018	0.039663	0.025670	-0.223000	-0.676798	0.217785	0.643569	0.613472	-0.441947	-0.118972	
 1153	3.812505	9.064061	-3.232360	-0.171429	0.232876	-0.025849	-0.223290	-0.676501	0.217102	0.645682	0.612574	-0.440341	-0.118098	
 1154	3.486243	8.045272	-2.511595	-0.346896	0.383173	-0.081247	-0.222464	-0.677723	0.212723	0.649396	0.611128	-0.436963	-0.117778	
 1155	3.096597	7.122016	-1.689621	-0.485731	0.433753	-0.115955	-0.218892	-0.680911	0.203809	0.654151	0.608813	-0.433121	-0.117641	
 1156	2.955424	6.494078	-1.130276	-0.520064	0.421635	-0.141810	-0.217675	-0.683711	0.193947	0.658968	0.606498	-0.428887	-0.118228	
 1157	2.935179	6.082572	-0.668398	-0.540545	0.445339	-0.185017	-0.215758	-0.686557	0.185333	0.663960	0.604078	-0.424447	-0.118709	
 1158	2.884833	6.000572	-0.419903	-0.540508	0.427890	-0.256119	-0.210003	-0.688219	0.176582	0.668726	0.602059	-0.419415	-0.120091	
 1159	2.849534	5.844175	-0.279466	-0.499393	0.388682	-0.301485	-0.204203	-0.690331	0.168763	0.673032	0.600268	-0.414657	-0.121514	
 1160	2.747630	5.824723	-0.075852	-0.365169	0.387635	-0.399994	-0.199763	-0.692680	0.164733	0.676337	0.599918	-0.409205	-0.123365	
 1161	3.094688	5.971357	-0.270340	-0.242243	0.415804	-0.430279	-0.193850	-0.694917	0.159328	0.679003	0.600368	-0.403771	-0.124427	
